mean_phred_score	n_sequences	sample	read_pair	stage
17	11783	AP-DNA-4	2	raw_concat
18	15715	AP-DNA-4	2	raw_concat
19	23768	AP-DNA-4	2	raw_concat
20	39610	AP-DNA-4	2	raw_concat
21	66825	AP-DNA-4	2	raw_concat
22	108649	AP-DNA-4	2	raw_concat
23	164344	AP-DNA-4	2	raw_concat
24	233436	AP-DNA-4	2	raw_concat
25	322950	AP-DNA-4	2	raw_concat
26	440389	AP-DNA-4	2	raw_concat
27	585905	AP-DNA-4	2	raw_concat
28	771101	AP-DNA-4	2	raw_concat
29	1015640	AP-DNA-4	2	raw_concat
30	1336972	AP-DNA-4	2	raw_concat
31	1738596	AP-DNA-4	2	raw_concat
32	2123762	AP-DNA-4	2	raw_concat
33	2090330	AP-DNA-4	2	raw_concat
34	1060478	AP-DNA-4	2	raw_concat
35	76128	AP-DNA-4	2	raw_concat
16	26	AP-DNA-5	1	raw_concat
17	426	AP-DNA-5	1	raw_concat
18	2489	AP-DNA-5	1	raw_concat
19	8745	AP-DNA-5	1	raw_concat
20	20617	AP-DNA-5	1	raw_concat
21	40177	AP-DNA-5	1	raw_concat
22	68302	AP-DNA-5	1	raw_concat
23	109560	AP-DNA-5	1	raw_concat
24	175738	AP-DNA-5	1	raw_concat
25	278081	AP-DNA-5	1	raw_concat
26	422120	AP-DNA-5	1	raw_concat
27	613874	AP-DNA-5	1	raw_concat
28	855797	AP-DNA-5	1	raw_concat
29	1160381	AP-DNA-5	1	raw_concat
30	1555899	AP-DNA-5	1	raw_concat
31	2093239	AP-DNA-5	1	raw_concat
32	2784734	AP-DNA-5	1	raw_concat
33	3441502	AP-DNA-5	1	raw_concat
34	3097212	AP-DNA-5	1	raw_concat
35	748198	AP-DNA-5	1	raw_concat
4	23	AP-DNA-5	2	raw_concat
5	62	AP-DNA-5	2	raw_concat
6	93	AP-DNA-5	2	raw_concat
7	128	AP-DNA-5	2	raw_concat
8	121	AP-DNA-5	2	raw_concat
9	173	AP-DNA-5	2	raw_concat
10	185	AP-DNA-5	2	raw_concat
11	184	AP-DNA-5	2	raw_concat
12	175	AP-DNA-5	2	raw_concat
13	163	AP-DNA-5	2	raw_concat
14	1833	AP-DNA-5	2	raw_concat
15	11590	AP-DNA-5	2	raw_concat
16	18962	AP-DNA-5	2	raw_concat
17	21163	AP-DNA-5	2	raw_concat
18	26204	AP-DNA-5	2	raw_concat
19	38473	AP-DNA-5	2	raw_concat
20	63271	AP-DNA-5	2	raw_concat
21	104858	AP-DNA-5	2	raw_concat
22	165755	AP-DNA-5	2	raw_concat
23	248099	AP-DNA-5	2	raw_concat
24	350904	AP-DNA-5	2	raw_concat
25	484193	AP-DNA-5	2	raw_concat
26	653254	AP-DNA-5	2	raw_concat
27	865808	AP-DNA-5	2	raw_concat
28	1135503	AP-DNA-5	2	raw_concat
29	1489210	AP-DNA-5	2	raw_concat
30	1942059	AP-DNA-5	2	raw_concat
31	2491050	AP-DNA-5	2	raw_concat
32	2978519	AP-DNA-5	2	raw_concat
33	2862129	AP-DNA-5	2	raw_concat
34	1421825	AP-DNA-5	2	raw_concat
35	101148	AP-DNA-5	2	raw_concat
15	1	AP-DNA-6	1	raw_concat
16	24	AP-DNA-6	1	raw_concat
17	364	AP-DNA-6	1	raw_concat
18	2351	AP-DNA-6	1	raw_concat
19	7746	AP-DNA-6	1	raw_concat
20	18137	AP-DNA-6	1	raw_concat
21	34011	AP-DNA-6	1	raw_concat
22	57273	AP-DNA-6	1	raw_concat
23	91359	AP-DNA-6	1	raw_concat
24	146585	AP-DNA-6	1	raw_concat
25	230804	AP-DNA-6	1	raw_concat
26	350511	AP-DNA-6	1	raw_concat
27	506869	AP-DNA-6	1	raw_concat
28	708725	AP-DNA-6	1	raw_concat
29	960848	AP-DNA-6	1	raw_concat
30	1291274	AP-DNA-6	1	raw_concat
31	1740504	AP-DNA-6	1	raw_concat
32	2326387	AP-DNA-6	1	raw_concat
33	2882482	AP-DNA-6	1	raw_concat
34	2580950	AP-DNA-6	1	raw_concat
35	622035	AP-DNA-6	1	raw_concat
4	11	AP-DNA-6	2	raw_concat
5	45	AP-DNA-6	2	raw_concat
6	82	AP-DNA-6	2	raw_concat
7	92	AP-DNA-6	2	raw_concat
8	96	AP-DNA-6	2	raw_concat
9	144	AP-DNA-6	2	raw_concat
10	146	AP-DNA-6	2	raw_concat
11	162	AP-DNA-6	2	raw_concat
12	131	AP-DNA-6	2	raw_concat
13	127	AP-DNA-6	2	raw_concat
14	1385	AP-DNA-6	2	raw_concat
15	7851	AP-DNA-6	2	raw_concat
16	13410	AP-DNA-6	2	raw_concat
17	16647	AP-DNA-6	2	raw_concat
18	22078	AP-DNA-6	2	raw_concat
19	32718	AP-DNA-6	2	raw_concat
20	52935	AP-DNA-6	2	raw_concat
21	87882	AP-DNA-6	2	raw_concat
22	139847	AP-DNA-6	2	raw_concat
23	209639	AP-DNA-6	2	raw_concat
24	286592	AP-DNA-6	2	raw_concat
25	392487	AP-DNA-6	2	raw_concat
26	528681	AP-DNA-6	2	raw_concat
27	696248	AP-DNA-6	2	raw_concat
28	913618	AP-DNA-6	2	raw_concat
29	1193400	AP-DNA-6	2	raw_concat
30	1565968	AP-DNA-6	2	raw_concat
31	2039209	AP-DNA-6	2	raw_concat
32	2493115	AP-DNA-6	2	raw_concat
